Qb X,Qb LogicBus
0,000000
3.725363586034581e-08,000001
7.159090881019073e-08,000000
7.17096098796612e-08,000010
1.058605256037812e-07,000011
1.40189682569492e-07,000010
1.403411091126164e-07,000000
1.404771067850855e-07,000100
1.744577248639653e-07,000101
2.087977154190833e-07,000100
2.089170564950051e-07,000110
2.430730192016724e-07,000111
2.774203566409473e-07,000110
2.775723438095716e-07,000100
2.777385169198023e-07,000000
2.779107408323165e-07,001000
3.116890143180779e-07,001001
3.460310508300329e-07,001000
3.461542963535558e-07,001010
3.802978516203675e-07,001011
4.14631940288927e-07,001010
4.147800048571539e-07,001000
4.149176336039182e-07,001100
4.489034957161154e-07,001101
4.832246619263503e-07,001100
4.833415111221659e-07,001110
5.174836755765101e-07,001111
5.518024114071529e-07,001110
5.519500385254718e-07,001100
5.521237369778829e-07,001000
5.523249456911614e-07,000000
5.525531341139833e-07,010000
5.860812993729009e-07,010001
6.204186674512606e-07,010000
6.205450298250035e-07,010010
6.54699430355578e-07,010011
6.890312346117538e-07,010010
6.891842809672442e-07,010000
6.893231014423447e-07,010100
7.233027430307181e-07,010101
7.576442590834973e-07,010100
7.577695975545644e-07,010110
7.919069108128478e-07,010111
8.262520829714669e-07,010110
8.264055604600018e-07,010100
8.265714518359315e-07,010000
8.26737618646833e-07,011000
8.605053268977113e-07,011001
8.948234247227978e-07,011000
8.949466751042124e-07,011010
9.290680261976581e-07,011011
9.633820184598177e-07,011010
9.635340560966749e-07,011000
9.636710977825111e-07,011100
9.976370412607606e-07,011101
1.03196632084691e-06,011100
1.032083458994546e-06,011110
1.066213413712121e-06,011111
1.100535372279878e-06,011110
1.100687473820835e-06,011100
1.100853843868893e-06,011000
1.101056080637063e-06,010000
1.101314942217663e-06,000000
1.102440904526535e-06,100000
1.134811742337531e-06,100001
1.16914102322023e-06,100000
1.16926468614383e-06,100010
1.203409853954562e-06,100011
1.237734071620886e-06,100010
1.23788661974545e-06,100000
1.238021783206602e-06,100100
1.271994658081103e-06,100101
1.306329138739614e-06,100100
1.306453584183151e-06,100110
1.340592073409785e-06,100111
1.374927213454711e-06,100110
1.37507749695657e-06,100100
1.375242615023782e-06,100000
1.375416614046085e-06,101000
1.409191717311635e-06,101001
1.443526659585945e-06,101000
1.443650898382106e-06,101010
1.477778823835655e-06,101011
1.512097077098699e-06,101010
1.512243022422668e-06,101000
1.512381836954338e-06,101100
1.546365609381111e-06,101101
1.580680566852416e-06,101100
1.580807140190852e-06,101110
1.61494635384861e-06,101111
1.649271683696374e-06,101110
1.649418663106464e-06,101100
1.649593132357243e-06,101000
1.649791238759426e-06,100000
1.650022543668121e-06,110000
1.683541202404622e-06,110001
1.717887917982785e-06,110000
1.718005438770064e-06,110010
1.75216622076604e-06,110011
1.78649806322347e-06,110010
1.786650980244018e-06,110000
1.786787777571714e-06,110100
1.820780218728011e-06,110101
1.855112895104226e-06,110100
1.855238259656474e-06,110110
1.889385473515067e-06,110111
1.923706336015242e-06,110110
1.923858730416842e-06,110100
1.924024734784331e-06,110000
1.924197954190762e-06,111000
1.957960876353519e-06,111001
1.992277685768464e-06,111000
1.992402854605499e-06,111010
2.026526199896413e-06,111011
2.060845107038624e-06,111010
2.060991281993642e-06,111000
2.061135270663095e-06,111100
2.095095499409536e-06,111101
2.129430626932476e-06,111100
2.129554946555264e-06,111110
2.163693095239568e-06,111111
2.197995090373346e-06,111110
2.198148191060228e-06,111100
2.198314640982112e-06,111000
2.198517378390558e-06,110000
2.198774579448154e-06,100000
2.200076300831729e-06,000000
2.232265244586804e-06,000001
2.266601357661756e-06,000000
2.266720980629513e-06,000010
2.30086248975362e-06,000011
2.335195880801471e-06,000010
2.335341626544956e-06,000000
2.335484349196215e-06,000100
2.369472125611411e-06,000101
2.403808412560832e-06,000100
2.403928797672348e-06,000110
2.438075780064556e-06,000111
2.472407750012739e-06,000110
2.472554370600237e-06,000100
2.472722341208359e-06,000000
2.472897764868339e-06,001000
2.506669162777413e-06,001001
2.541003110769768e-06,001000
2.54112669791161e-06,001010
2.575259844533236e-06,001011
2.609586034808159e-06,001010
2.609730062556287e-06,001000
2.609867550631748e-06,001100
2.64384731469272e-06,001101
2.678172978402143e-06,001100
2.678290508195523e-06,001110
2.712425993385164e-06,001111
2.746752019459969e-06,001110
2.746903875403415e-06,001100
2.747078805289401e-06,001000
2.747273852416646e-06,000000
2.747502392936527e-06,010000
2.781016946052988e-06,010001
2.815361695280889e-06,010000
2.815487389147891e-06,010010
2.849631396163135e-06,010011
2.883975827069627e-06,010010
2.884123106991532e-06,010000
2.884261126745933e-06,010100
2.918227178768644e-06,010101
2.952565238154971e-06,010100
2.952683048868843e-06,010110
2.986819262760089e-06,010111
3e-06,010111
