,,Parameter,,,,,,C0_copy_0
,,vdd,,,,,,1.8

Point,Test,Output,Spec,Weight,Pass/Fail,Min,Max,C0_copy_0
Parameters: vcontrol=600m,,,,,,,,
1,uwb_system:uwb_osc_ring_top_tb:1,Frequency,,,,723.1e6,723.1e6,723.1e6
Parameters: vcontrol=700m,,,,,,,,
2,uwb_system:uwb_osc_ring_top_tb:1,Frequency,,,,993.4e6,993.4e6,993.4e6
Parameters: vcontrol=800m,,,,,,,,
3,uwb_system:uwb_osc_ring_top_tb:1,Frequency,,,,908.6e6,908.6e6,908.6e6
Parameters: vcontrol=900m,,,,,,,,
4,uwb_system:uwb_osc_ring_top_tb:1,Frequency,,,,1.122e9,1.122e9,1.122e9
Parameters: vcontrol=1,,,,,,,,
5,uwb_system:uwb_osc_ring_top_tb:1,Frequency,,,,1.223e9,1.223e9,1.223e9
Parameters: vcontrol=1.1,,,,,,,,
6,uwb_system:uwb_osc_ring_top_tb:1,Frequency,,,,1.296e9,1.296e9,1.296e9
Parameters: vcontrol=1.2,,,,,,,,
7,uwb_system:uwb_osc_ring_top_tb:1,Frequency,,,,1.354e9,1.354e9,1.354e9
Parameters: vcontrol=1.3,,,,,,,,
8,uwb_system:uwb_osc_ring_top_tb:1,Frequency,,,,1.404e9,1.404e9,1.404e9
Parameters: vcontrol=1.4,,,,,,,,
9,uwb_system:uwb_osc_ring_top_tb:1,Frequency,,,,1.447e9,1.447e9,1.447e9
Parameters: vcontrol=1.5,,,,,,,,
10,uwb_system:uwb_osc_ring_top_tb:1,Frequency,,,,1.483e9,1.483e9,1.483e9
Parameters: vcontrol=1.6,,,,,,,,
11,uwb_system:uwb_osc_ring_top_tb:1,Frequency,,,,1.512e9,1.512e9,1.512e9
Parameters: vcontrol=1.7,,,,,,,,
12,uwb_system:uwb_osc_ring_top_tb:1,Frequency,,,,1.536e9,1.536e9,1.536e9
Parameters: vcontrol=1.8,,,,,,,,
13,uwb_system:uwb_osc_ring_top_tb:1,Frequency,,,,1.554e9,1.554e9,1.554e9

