/A X,/A Y,/nand_AB X,/nand_AB Y,/nand_1B X,/nand_1B Y,/nand_A1 X,/nand_A1 Y
0,0,0,1.799999995923415,0,1.799999976368095,0,1.799999976457681
0.01,0.01,0.01,1.799999995134674,0.01,1.799999970144259,0.01,1.799999971315281
0.02,0.02,0.02,1.799999994076571,0.02,1.799999961830574,0.02,1.799999964498375
0.03,0.03,0.03,1.799999992659845,0.03,1.799999950730072,0.03,1.799999955435149
0.04,0.04,0.04,1.799999990765551,0.04,1.799999935917839,0.04,1.799999943390603
0.05,0.05,0.05,1.799999988234589,0.05,1.799999916158733,0.05,1.799999927387093
0.06,0.06,0.06,1.799999984854695,0.06,1.799999889807288,0.06,1.799999906127303
0.07000000000000001,0.07000000000000001,0.07000000000000001,1.799999980343065,0.07000000000000001,1.799999854672386,0.07000000000000001,1.799999877890431
0.08,0.08,0.08,1.799999974323046,0.08,1.799999807837251,0.08,1.799999840394597
0.09,0.09,0.09,1.799999966292592,0.09,1.799999745420508,0.09,1.799999790614875
0.09999999999999999,0.09999999999999999,0.09999999999999999,1.799999955583027,0.09999999999999999,1.799999662259252,0.09999999999999999,1.799999724542799
0.11,0.11,0.11,1.799999941304037,0.11,1.799999551488998,0.11,1.799999636868756
0.12,0.12,0.12,1.799999922270633,0.12,1.799999403987528,0.12,1.799999520562908
0.13,0.13,0.13,1.79999989690625,0.13,1.799999207639321,0.13,1.799999366322772
0.14,0.14,0.14,1.799999863114301,0.14,1.799998946363944,0.14,1.799999161845886
0.15,0.15,0.15,1.799999818108076,0.15,1.799998598834554,0.15,1.799998890873421
0.16,0.16,0.16,1.799999758185735,0.16,1.799998136790565,0.16,1.799998531934544
0.17,0.17,0.17,1.799999678433045,0.17,1.799997522820353,0.17,1.799998056700785
0.18,0.18,0.18,1.799999572331252,0.18,1.799996707454228,0.18,1.799997427833646
0.19,0.19,0.19,1.799999431240713,0.19,1.79999562536322,0.19,1.79999659617598
0.2,0.2,0.2,1.799999243722268,0.2,1.799994190403907,0.2,1.799995497096891
0.21,0.21,0.21,1.799998994647444,0.21,1.799992289181864,0.21,1.799994045749752
0.2200000000000001,0.2200000000000001,0.2200000000000001,1.799998664034889,0.2200000000000001,1.799989772725155,0.2200000000000001,1.799992130941942
0.2300000000000001,0.2300000000000001,0.2300000000000001,1.799998225533529,0.2300000000000001,1.799986445763766,0.2300000000000001,1.799989607242052
0.2400000000000001,0.2400000000000001,0.2400000000000001,1.799997644452242,0.2400000000000001,1.799982053001646,0.2400000000000001,1.79998628486498
0.2500000000000001,0.2500000000000001,0.2500000000000001,1.799996875211032,0.2500000000000001,1.79997626164731,0.2500000000000001,1.799981916777786
0.2600000000000001,0.2600000000000001,0.2600000000000001,1.799995858059497,0.2600000000000001,1.799968639341842,0.2600000000000001,1.799976182361148
0.2700000000000001,0.2700000000000001,0.2700000000000001,1.799994514874981,0.2700000000000001,1.799958626498435,0.2700000000000001,1.799968666846287
0.2800000000000001,0.2800000000000001,0.2800000000000001,1.799992743815874,0.2800000000000001,1.799945501958552,0.2800000000000001,1.79995883563131
0.2900000000000001,0.2900000000000001,0.2900000000000001,1.799990412566591,0.2900000000000001,1.799928340795108,0.2900000000000001,1.799946002472885
0.3000000000000001,0.3000000000000001,0.3000000000000001,1.79998734987235,0.3000000000000001,1.799905963076928,0.3000000000000001,1.799929290460702
0.3100000000000001,0.3100000000000001,0.3100000000000001,1.799983335028016,0.3100000000000001,1.799876872480531,0.3100000000000001,1.799907584627684
0.3200000000000001,0.3200000000000001,0.3200000000000001,1.799978084961374,0.3200000000000001,1.799839183829453,0.3200000000000001,1.799879475044904
0.3300000000000001,0.3300000000000001,0.3300000000000001,1.799971238544519,0.3300000000000001,1.799790538997118,0.3300000000000001,1.799843189315358
0.3400000000000001,0.3400000000000001,0.3400000000000001,1.799962337786315,0.3400000000000001,1.79972801117415,0.3400000000000001,1.799796513537696
0.3500000000000001,0.3500000000000001,0.3500000000000001,1.799950805614809,0.3500000000000001,1.799647998336251,0.3500000000000001,1.799736701091324
0.3600000000000002,0.3600000000000002,0.3600000000000002,1.799935920063675,0.3600000000000002,1.799546107937898,0.3600000000000002,1.799660369049358
0.3700000000000002,0.3700000000000002,0.3700000000000002,1.799916784847191,0.3700000000000002,1.799417036506946,0.3700000000000002,1.799563382740493
