Delay X,Delay Y
3.731802764788644e-08,2.048578899327886e-11
7.206143906597999e-08,4.659556061915906e-11
1.068051498828009e-07,8.042089754207737e-11
1.415487042850258e-07,1.145073443557222e-10
1.762971873818839e-07,1.479190873973423e-10
2.110537289890844e-07,1.8191927603093e-10
2.458069849846397e-07,2.15858182720142e-10
2.805555156042865e-07,2.500043197254306e-10
3.15303632534842e-07,2.940135540930181e-10
3.500501593431849e-07,3.174712198908417e-10
3.847948360568128e-07,3.521467118807166e-10
4.195378483322279e-07,3.85343058797017e-10
4.542851672870896e-07,4.198696490310559e-10
4.890439062405395e-07,4.529114466247026e-10
5.237959660869086e-07,4.878912503904028e-10
5.585429389883362e-07,5.207653101373844e-10
5.932903341057487e-07,5.684346444923297e-10
6.280362433886945e-07,5.892149045470021e-10
6.627804238068014e-07,6.233361977643985e-10
6.975250685790537e-07,6.574479665888526e-10
7.322734719697091e-07,6.909095072372136e-10
7.670309455411916e-07,7.250139717471625e-10
8.01784423654823e-07,7.588341613653024e-10
8.365334529719122e-07,7.930463535078578e-10
8.712807048183968e-07,8.372985911432799e-10
9.06025836241957e-07,8.604876142774937e-10
9.407716005082488e-07,8.950896943584756e-10
9.75515713256861e-07,9.281612655042195e-10
1.010264620728833e-06,9.62989860187971e-10
1.045021849822391e-06,9.958182566956038e-10
1.07977449490319e-06,1.030857626301126e-09
1.114524856153727e-06,1.063944067320853e-09
1.149271476638649e-06,1.106321324090088e-09
1.184015769328052e-06,1.132142319382454e-09
1.218759800285699e-06,1.166105919026151e-09
1.253503047278058e-06,1.20048860850313e-09
1.288253673730916e-06,1.234138478402985e-09
1.32301062341802e-06,1.26810437087572e-09
1.35776437032169e-06,1.301755454878297e-09
1.392513989073719e-06,1.336346279764412e-09
1.427262298385995e-06,1.380010743965779e-09
1.462008933141411e-06,1.403332250934056e-09
1.496754157179231e-06,1.437852499740951e-09
1.531496752003258e-06,1.470999918414793e-09
1.566243813832962e-06,1.505975071226447e-09
1.601001342311027e-06,1.538675291877294e-09
1.635754157660557e-06,1.573468830214063e-09
1.67050073597867e-06,1.60686276791226e-09
1.705247194858306e-06,1.654288185033615e-09
1.739994557301348e-06,1.675167866626027e-09
1.774740514637942e-06,1.708921171392442e-09
1.809485331661501e-06,1.743192697292662e-09
1.844235527388229e-06,1.777071245065765e-09
1.878991707207118e-06,1.811034984779066e-09
1.913745382946296e-06,1.844723265703914e-09
1.948494469697653e-06,1.878966370419865e-09
1.983241376835144e-06,1.923314409883913e-09
2.017987525422489e-06,1.946084741407327e-09
2.052731547001411e-06,1.980870170322233e-09
2.087475553661275e-06,2.013841174552592e-09
2.122223669562349e-06,2.049106188704311e-09
2.156981516625078e-06,2.082021007034452e-09
2.191734809618727e-06,2.116680810106436e-09
2.226482707857456e-06,2.149829744928808e-09
2.261229609818303e-06,2.192134847519786e-09
2.295975036429452e-06,2.218109312710693e-09
2.330719520612377e-06,2.251855597015836e-09
2.365463747239689e-06,2.286325171973747e-09
2.400213649976138e-06,2.319663532486235e-09
2.434970487833263e-06,2.354043194493607e-09
2.469723710126982e-06,2.38759328553392e-09
2.504472241847683e-06,2.42184841765863e-09
2.53921959942694e-06,2.465785029109827e-09
2.573967208414283e-06,2.488816418561395e-09
2.608711225029073e-06,2.523495423024107e-09
2.643454825906493e-06,2.556647518363998e-09
2.678202343189179e-06,2.592451503986744e-09
2.712961271752696e-06,2.625050539764342e-09
2.747714353868812e-06,2.659086609839176e-09
2.782460566349679e-06,2.692528734307253e-09
2.817207576317534e-06,2.740237093834041e-09
2.851953671675102e-06,2.761083485203095e-09
2.88669768617953e-06,2.794701713402853e-09
2.921443129172811e-06,2.828938532270361e-09
2.956191784028576e-06,2.863154912791046e-09
2.990948905713282e-06,2.897207376695178e-09
