Prueba

Delay X,Delay Y
1.283117209730979e-09,1.185205402855782e-10
3.52881948098833e-08,1.252807169500007e-10
6.929344464428799e-08,1.355432752295839e-10
1.032990419223527e-07,1.443831154278441e-10
1.373049968763812e-07,1.518572830415628e-10
1.713112020054707e-07,1.58473320719909e-10
2.053174108340916e-07,1.687397795740382e-10
2.393238951461699e-07,1.777079036085932e-10
2.733305464177586e-07,1.862131768565925e-10
3.073374064292919e-07,1.935499048441239e-10
3.413440773210101e-07,2.035727486219088e-10
3.753509888803155e-07,2.124121630214842e-10
4.093580686465628e-07,2.167879493249104e-10
4.433652241925198e-07,2.274692537410277e-10
4.773722424492959e-07,2.271858329824197e-10
5.1137940545243e-07,2.469534354085817e-10
5.453866993267147e-07,2.429241776775219e-10
5.79394055769829e-07,2.661829170481173e-10
6.134012840630395e-07,2.579101867151973e-10
6.474085818427495e-07,2.843842559404492e-10
6.814160091368608e-07,2.77764154389372e-10
7.154234631874286e-07,3.017789343331527e-10
7.494307787719962e-07,2.932337342577494e-10
7.834381560145333e-07,3.182586142676311e-10
8.174456006899329e-07,3.107814220313684e-10
8.514531220311231e-07,3.352024836854864e-10
8.854604113757622e-07,3.323860495692977e-10
9.194678226843701e-07,3.514964690666765e-10
9.534753100067073e-07,3.333176768604999e-10
9.874828634774317e-07,3.683907622804508e-10
1.021490191377567e-06,3.736724466519364e-10
1.055497641121582e-06,3.846461822232827e-10
1.089505175855754e-06,3.584431053378126e-10
1.123512733462744e-06,4.015259330863629e-10
1.157520156126564e-06,4.106482224976714e-10
1.191527607027237e-06,4.177711045359498e-10
1.225535171672916e-06,3.925559452369109e-10
1.259542754591853e-06,4.346680557671706e-10
1.293550186262961e-06,4.43920557271342e-10
1.327557678055965e-06,4.509243146495499e-10
1.361565191871982e-06,4.199456377186772e-10
1.395572791759419e-06,4.67821767209926e-10
1.429580109168462e-06,4.770793946049167e-10
1.463587605909305e-06,4.840782432088725e-10
1.4975951616598e-06,4.884734416078725e-10
1.531602748587014e-06,5.009919707574942e-10
1.565610096172153e-06,5.103596417422582e-10
1.599617565135787e-06,5.172590845771567e-10
1.633625111937785e-06,4.555962209281141e-10
1.667632706883994e-06,5.340763931164424e-10
1.701639948350567e-06,5.435822527670728e-10
1.735647404229855e-06,5.503561152656821e-10
1.7696549657892e-06,5.583115249102488e-10
1.803662562995137e-06,5.672313431096198e-10
1.837669996311933e-06,5.766875343743147e-10
1.871677497725908e-06,5.835525940319251e-10
1.905685012032141e-06,5.755472954079971e-10
1.939692606400334e-06,6.004381166607289e-10
1.973699987622509e-06,6.096417851921023e-10
2.007707453091704e-06,6.167624008135241e-10
2.041714995136104e-06,6.248857128396354e-10
2.075722601667102e-06,6.336435127469539e-10
2.109729949605153e-06,6.425881998997248e-10
2.143737436347682e-06,6.499659875115894e-10
2.177744982453454e-06,5.493156028105763e-10
2.211752563230327e-06,6.668634202126427e-10
2.24575998947008e-06,6.756772170831278e-10
2.279767460498317e-06,6.831861761265716e-10
2.313775039054077e-06,6.912219497522857e-10
2.347782618194725e-06,7.000742060864017e-10
2.381790048950972e-06,7.088862260727694e-10
2.415797564070131e-06,7.163996346967521e-10
2.449805105017389e-06,7.252154266500064e-10
2.483812731952738e-06,7.332868933771796e-10
