Corner,cr018gpii_v1d0.scs,temperature,vdd,vtrimp,Pass/Fail,Frequency
C0_0,ss,0,1.62,1.62,pass,288.6e6
C0_1,ss,80,1.62,1.62,pass,290.9e6
C0_2,ss,0,1.98,1.98,pass,473.2e6
C0_3,ss,80,1.98,1.98,pass,501.7e6
C0_4,ff,0,1.62,1.62,pass,474.4e6
C0_5,ff,80,1.62,1.62,pass,491.4e6
C0_6,ff,0,1.98,1.98,pass,859.2e6
C0_7,ff,80,1.98,1.98,pass,899.3e6
C0_8,sf,0,1.62,1.62,pass,399.2e6
C0_9,sf,80,1.62,1.62,pass,404.1e6
C0_10,sf,0,1.98,1.98,pass,716.8e6
C0_11,sf,80,1.98,1.98,pass,742.7e6
C0_12,fs,0,1.62,1.62,pass,339.6e6
C0_13,fs,80,1.62,1.62,pass,346.6e6
C0_14,fs,0,1.98,1.98,pass,561.6e6
C0_15,fs,80,1.98,1.98,pass,602.9e6

